========================================================================================================================
IoT-Shield Debug Log — 2026-03-26 11:52:56
Model bashorat Feature qiymatlari — False Positive tahlili uchun
========================================================================================================================

Vaqt          | Src_IP          | Bashorat                       | Ishonch | Pkt  | Qaror       |      ARP |      AVG |     DHCP |      DNS |     HTTP |    HTTPS | Header_L |      IAT |     ICMP |      IPv |      IRC |      LLC |      Max |      Min |   Number | Protocol |     Rate |     SMTP |      SSH |      Std |      TCP |   Telnet | Tot size |  Tot sum |      UDP | Variance | ack_coun | ack_flag | cwr_flag | ece_flag | fin_coun | fin_flag | psh_flag | rst_coun | rst_flag | syn_coun | syn_flag
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
11:52:59.254 | 192.168.1.195   | DDOS-SLOWLORIS                 |   4.5% |    5 | FP_PREVENT  |     1.00 |    59.00 |     0.00 |     0.00 |     0.00 |     1.00 |    21.60 |     0.10 |     0.00 |     0.00 |     0.00 |     0.00 |    66.00 |    54.00 |     5.00 |     0.00 |    12.30 |     0.00 |     0.00 |     4.29 |     0.00 |     0.00 |   295.00 |   295.00 |     0.00 |    18.40 |     4.00 |     1.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00
11:53:00.269 | 192.168.1.195   | DDOS-HTTP_FLOOD                |   4.5% |    4 | FP_PREVENT  |     1.00 |   182.25 |     0.00 |     0.00 |     0.00 |     0.00 |    19.00 |     0.19 |     0.00 |     0.00 |     0.00 |     0.00 |   311.00 |    60.00 |     4.00 |     0.00 |     7.12 |     0.00 |     0.00 |   118.99 |     0.00 |     0.00 |   729.00 |   729.00 |     0.00 | 14157.69 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00
11:53:02.295 | 192.168.0.191   | MITM-ARPSPOOFING               |  11.2% |    4 | FP_PREVENT  |     0.00 |    67.50 |     0.00 |     0.00 |     0.00 |     1.00 |    21.50 |     0.21 |     0.00 |     1.00 |     0.00 |     0.00 |    90.00 |    60.00 |     4.00 |     2.00 |     6.49 |     0.00 |     0.00 |    12.99 |     0.00 |     0.00 |   270.00 |   270.00 |     0.00 |   168.75 |     1.00 |     1.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00
11:53:03.308 | 192.168.0.191   | MIRAI-UDPPLAIN                 |  16.7% |   11 | FP_PREVENT  |     0.00 |   147.45 |     0.00 |     0.00 |     0.00 |     0.00 |    18.36 |     0.08 |     0.00 |     1.00 |     0.00 |     0.00 |   311.00 |    60.00 |    11.00 |    17.00 |    14.19 |     0.00 |     0.00 |    78.32 |     0.00 |     0.00 |  1622.00 |  1622.00 |     1.00 |  6134.61 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00
11:53:04.310 | 192.168.1.195   | DDOS-SLOWLORIS                 |   4.4% |    5 | FP_PREVENT  |     1.00 |   156.60 |     0.00 |     0.00 |     0.00 |     1.00 |    20.40 |     0.02 |     0.00 |     0.00 |     0.00 |     0.00 |   311.00 |    55.00 |     5.00 |     0.00 |    76.26 |     0.00 |     0.00 |   118.12 |     0.00 |     0.00 |   783.00 |   783.00 |     0.00 | 13953.04 |     2.00 |     1.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00
11:53:05.328 | 192.168.1.195   | DDOS-UDP_FRAGMENTATION         |   7.1% |  292 | FP_PREVENT  |     1.00 |    59.06 |     0.00 |     0.00 |     0.00 |     1.00 |    27.40 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |   940.00 |    42.00 |   292.00 |     0.00 |   338.98 |     0.00 |     0.00 |    91.01 |     0.00 |     0.00 | 17246.00 | 17246.00 |     0.00 |  8282.37 |    22.00 |     1.00 |     0.00 |     0.00 |     0.00 |     0.00 |     1.00 |     0.00 |     0.00 |     0.00 |     0.00
11:53:06.341 | 192.168.1.195   | DDOS-SLOWLORIS                 |   4.6% |    8 | FP_PREVENT  |     1.00 |   119.00 |     0.00 |     0.00 |     0.00 |     1.00 |    22.25 |     0.14 |     0.00 |     0.00 |     0.00 |     0.00 |   311.00 |    55.00 |     8.00 |     0.00 |     8.27 |     0.00 |     0.00 |   105.22 |     0.00 |     0.00 |   952.00 |   952.00 |     0.00 | 11070.50 |     3.00 |     1.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00
11:53:08.371 | 192.168.56.1    | DDOS-UDP_FRAGMENTATION         |   7.5% |  260 | FP_PREVENT  |     1.00 |    42.64 |     0.00 |     0.00 |     0.00 |     1.00 |    27.88 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |   159.00 |    42.00 |   260.00 |     0.00 |   490.78 |     0.00 |     0.00 |     7.46 |     0.00 |     0.00 | 11086.00 | 11086.00 |     0.00 |    55.66 |     4.00 |     1.00 |     0.00 |     0.00 |     0.00 |     0.00 |     1.00 |     0.00 |     0.00 |     0.00 |     0.00
11:53:09.387 | 192.168.1.195   | DDOS-SLOWLORIS                 |   4.5% |    3 | FP_PREVENT  |     1.00 |    60.33 |     0.00 |     0.00 |     0.00 |     1.00 |    22.67 |     0.17 |     0.00 |     0.00 |     0.00 |     0.00 |    66.00 |    55.00 |     3.00 |     0.00 |     8.79 |     0.00 |     0.00 |     4.50 |     0.00 |     0.00 |   181.00 |   181.00 |     0.00 |    20.22 |     2.00 |     1.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00
